Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Mois,IATA_Manuel
"Summer Bachata Festival ROVINJ 2026","5 Jun","9 Jun","Rovinj, Croatia","https://placetodance.com/festivals/calendar/689a474f47951c2e5078ec5c","https://www.facebook.com/events/723845263715072/","June",""
"Kizomba Beach Festival","5 Jun","8 Jun","Blankenberge, Belgium","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b6bb","https://www.facebook.com/events/327113366981482/","June",""
"Week-End Danse éVasion 2026","5 Jun","8 Jun","Le Muy, France","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b28","https://www.facebook.com/events/1090682379598594/","June",""
"KIZOMBA GALA CHALLENGE FESTIVAL VII - Pela Cultura Edition","11 Jun","15 Jun","Saint-Herblain, France","https://placetodance.com/festivals/calendar/68e7bb216eb94a22fac2683d","https://www.facebook.com/events/692114300373369/","June",""
"FESTIVAL LATINA TRIP BREIZH 2026","13 Jun","15 Jun","Pléneuf-Val-André, France","https://placetodance.com/festivals/calendar/689a524347951c2e5078ec89","https://www.facebook.com/events/3732116527091953/","June",""
"PIRATE FEST 2026 - Vente con Ramón y Denise","18 Jun","21 Jun","San Javier, Spain","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8ed","https://www.facebook.com/events/2014899519293631/","June",""
"KIZ GOT TALENT BY TAMASHA SUMMER FESTIVAL","18 Jun","22 Jun","La Londe-Les-Maures, France","https://placetodance.com/festivals/calendar/6925f58a06f86dbdbfab2698","https://www.facebook.com/events/772674709117202/","June",""
"Camargue Bachata Zouk festival 2026","19 Jun","22 Jun","Camargue, France","https://placetodance.com/festivals/calendar/6925f18606f86dbdbfab263a","https://www.facebook.com/events/813292148361613/","June",""
"Ginga Boo UK Kizomba Festival 9th Edition - GBKF UK 19/22nd June 26","20 Jun","22 Jun","Milton Keynes, United Kingdom","https://placetodance.com/festivals/calendar/6884c1558dbff31b590155a8","https://www.facebook.com/events/725791099978447","June",""
"ANWA Signature Bachata Congress 2026","20 Jun","21 Jun","Osny, France","https://placetodance.com/festivals/calendar/68fd2269e9c5d223fe32c940","https://www.facebook.com/events/2645429179127395/","June",""
"KKC KIZZVENLO KIZOMBA CONGRESS 2026. ALL IN ONE","26 Jun","29 Jun","Sevenum, Netherlands","https://placetodance.com/festivals/calendar/6884c1558dbff31b5901558a","https://www.facebook.com/events/1254265496240058","June",""
"SAOCO Bachata Festival D 26-28.06.2026","26 Jun","28 Jun","Dusseldorf, Germany","https://placetodance.com/festivals/calendar/6925f18406f86dbdbfab25e6","https://www.facebook.com/events/2908908665979740/","June",""
"Loves Kizomba Summer Fest 2026","1 Jul","7 Jul","Benacazón, Spain","https://placetodance.com/festivals/calendar/68e7bb206eb94a22fac2682e","https://www.facebook.com/events/1651344175563437/","July",""
"LKW – LION KINGS WEEKEND 6th (Summer) – All In One","3 Jul","6 Jul","Bron, France","https://placetodance.com/festivals/calendar/68e80f546eb94a22fac268d7","https://www.facebook.com/events/696559052994937/","July",""
